Iteración,Error MC Exploring Starts,Error MC No Exploring Starts,Error ADP Exploring Starts,Error ADP No Exploring Starts
52,37.997983986060206,37.997983986060206,37.997983986060206,37.997983986060206
53,33.54405453407753,33.54405453407753,33.54405453407753,33.54405453407753
54,16.951042654368752,16.951042654368752,16.951042654368752,16.951042654368752
55,27.933261382681874,27.933261382681874,27.933261382681874,27.933261382681874
56,19.87625163146703,19.87625163146703,19.87625163146703,19.87625163146703
57,24.446297866914577,24.446297866914577,24.446297866914577,24.446297866914577
58,29.2252644118125,29.2252644118125,29.2252644118125,29.2252644118125
59,31.259151425648813,31.259151425648813,31.259151425648813,31.259151425648813
60,28.097871166710643,28.097871166710643,28.097871166710643,28.097871166710643
61,25.014840131250004,25.014840131250004,25.014840131250004,25.014840131250004
62,24.871742887500005,24.871742887500005,24.871742887500005,24.871742887500005
63,27.415926775687502,27.415926775687502,27.415926775687502,27.415926775687502
64,25.968658055625,25.968658055625,25.968658055625,25.968658055625
65,25.853080616050093,25.853080616050093,25.853080616050093,25.853080616050093
66,15.540569403740413,15.540569403740413,15.540569403740413,15.540569403740413
67,13.649040729528245,13.649040729528245,13.649040729528245,13.649040729528245
68,22.685342799375,22.685342799375,22.685342799375,22.685342799375
69,21.849929981431874,21.849929981431874,21.849929981431874,21.849929981431874
70,28.069097006249997,28.069097006249997,28.069097006249997,28.069097006249997
71,23.0249697927836,23.0249697927836,23.0249697927836,23.0249697927836
72,31.976586445755913,31.976586445755913,31.976586445755913,31.976586445755913
73,36.495961488818416,36.495961488818416,36.495961488818416,36.495961488818416
74,25.944888282852368,25.944888282852368,25.944888282852368,25.944888282852368
75,24.08452907556919,24.08452907556919,24.08452907556919,24.08452907556919
76,29.02998353268188,29.02998353268188,29.02998353268188,29.02998353268188
77,42.618664080815094,42.618664080815094,42.618664080815094,42.618664080815094
78,37.060124394375,37.060124394375,37.060124394375,37.060124394375
79,33.5674211506875,33.5674211506875,33.5674211506875,33.5674211506875
80,32.00674717911854,32.00674717911854,32.00674717911854,32.00674717911854
81,31.57836291061875,31.57836291061875,31.57836291061875,31.57836291061875
82,21.05729228878848,21.05729228878848,21.05729228878848,21.05729228878848
83,33.25409296287734,33.25409296287734,33.25409296287734,33.25409296287734
84,32.71570315405859,32.71570315405859,32.71570315405859,32.71570315405859
85,29.43245891018813,29.43245891018813,29.43245891018813,29.43245891018813
86,30.122097497859457,30.122097497859457,30.122097497859457,30.122097497859457
87,38.67778963197619,38.67778963197619,38.67778963197619,38.67778963197619
88,33.81733316877857,33.81733316877857,33.81733316877857,33.81733316877857
89,28.42029860295439,28.42029860295439,28.42029860295439,28.42029860295439
90,27.703382435232065,27.703382435232065,27.703382435232065,27.703382435232065
91,30.775622632092293,30.775622632092293,30.775622632092293,30.775622632092293
92,31.29710937153299,31.29710937153299,31.29710937153299,31.29710937153299
93,28.69325658759486,28.69325658759486,28.69325658759486,28.69325658759486
94,28.82697127664072,28.82697127664072,28.82697127664072,28.82697127664072
95,34.86080917903814,34.86080917903814,34.86080917903814,34.86080917903814
96,31.30744041501465,31.30744041501465,31.30744041501465,31.30744041501465
97,15.352794309270902,15.352794309270902,15.352794309270902,15.352794309270902
98,22.487536311969937,22.487536311969937,22.487536311969937,22.487536311969937
99,28.784860016068123,28.784860016068123,28.784860016068123,28.784860016068123
100,35.08239920293688,35.08239920293688,35.08239920293688,35.08239920293688
101,32.591943156937496,32.591943156937496,32.591943156937496,32.591943156937496
102,17.977523228810387,17.977523228810387,17.977523228810387,17.977523228810387
103,23.543551368364554,23.543551368364554,23.543551368364554,23.543551368364554
104,21.731424980625,21.731424980625,21.731424980625,21.731424980625
105,26.851787470631248,26.851787470631248,26.851787470631248,26.851787470631248
